"nixtamaliz*"  (All Fields) AND "corn" OR "maize"  (All Fields)
Timespan:2010-2023. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Maize: A Paramount Staple Crop in the Context of Global Nutrition","Nuss, Emily T.; Tanumihardjo, Sherry A.","","","","COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY","JUL 2010","2010","9","4","","","","417","436","","10.1111/j.1541-4337.2010.00117.x","","","306","21.86","1","2","2","8","18","11","15","27","41","35","54","53","38","1"
"Determination of the structural changes by FT-IR, Raman, and CP/MAS C-13 NMR spectroscopy on retrograded starch of maize tortillas","Flores-Morales, A.; Jimenez-Estrada, M.; Mora-Escobedo, R.","","","","CARBOHYDRATE POLYMERS","JAN 4 2012","2012","87","1","","","","61","68","","10.1016/j.carbpol.2011.07.011","","","234","19.50","0","0","2","6","10","12","15","23","29","25","37","42","31","2"
"Mycotoxin occurrence in grains and the role of postharvest management as a mitigation strategies. A review","Neme, Kumera; Mohammed, Ali","","","","FOOD CONTROL","AUG 2017","2017","78","","","","","412","425","","10.1016/j.foodcont.2017.03.012","","","149","21.29","0","0","0","0","0","0","0","0","11","23","32","49","32","2"
"Phenolic content and antioxidant activity of tortillas produced from pigmented maize processed by conventional nixtamalization or extrusion cooking","Mora-Rochin, Saraid; Gutierrez-Uribe, Janet A.; Serna-Saldivar, Sergio O.; Sanchez-Pena, Pedro; Reyes-Moreno, Cuauhtemoc; Milan-Carrillo, Jorge","","","","JOURNAL OF CEREAL SCIENCE","NOV 2010","2010","52","3","","","","502","508","","10.1016/j.jcs.2010.08.010","","","134","9.57","0","1","7","13","16","10","17","11","14","15","13","10","7","0"
"Processing maize flour and corn meal food products","Gwirtz, Jeffrey A.; Nieves Garcia-Casal, Maria","","","PenaRosas, JP; GarciaCasal, MN; Pachon, H","TECHNICAL CONSIDERATIONS FOR MAIZE FLOUR AND CORN MEAL FORTIFICATION IN PUBLIC HEALTH","2014","2014","1312","","","","","66","75","","10.1111/nyas.12299","World-Health-Organization Consultation on Technical Considerations for Fortification of Maize Flour and Corn Meal in Public Health","APR 08-09, 2013","129","12.90","0","0","0","0","1","3","4","10","14","25","22","23","24","3"
"The low intestinal and hepatic toxicity of hydrolyzed fumonisin B-1 correlates with its inability to alter the metabolism of sphingolipids","Grenier, Bertrand; Bracarense, Ana-Paula F. L.; Schwartz, Heidi Elisabeth; Trumel, Catherine; Cossalter, Anne-Marie; Schatzmayr, Gerd; Kolf-Clauw, Martine; Moll, Wulf-Dieter; Oswald, Isabelle P.","","","","BIOCHEMICAL PHARMACOLOGY","MAY 15 2012","2012","83","10","","","","1465","1473","","10.1016/j.bcp.2012.02.007","","","86","7.17","0","0","0","6","6","10","8","10","16","13","6","4","7","0"
"Eco-friendly innovation for nejayote coagulation-flocculation process using chitosan: Evaluation through zeta potential measurements","Suarez Meraz, Karla Alejandra; Ponce Vargas, Sandra Montserrat; Lopez Maldonado, Jose Trinidad; Cornejo Bravo, Jose Manuel; Oropeza Guzman, Mercedes Teresita; Lopez Maldonado, Eduardo Alberto","","","","CHEMICAL ENGINEERING JOURNAL","JAN 15 2016","2016","284","","","","","536","542","","10.1016/j.cej.2015.09.026","","","82","10.25","0","0","0","0","0","0","5","11","16","14","15","12","6","3"
"Effects of processing on mycotoxin stability in cereals","Milani, Jafar; Maleki, Gisoo","","","","JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","SEP 2014","2014","94","12","","","","2372","2375","","10.1002/jsfa.6600","","","80","8.00","0","0","0","0","0","1","10","7","14","10","17","13","8","0"
"Fumonisins: oxidative stress-mediated toxicity and metabolism in vivo and in vitro","Wang, Xu; Wu, Qinghua; Wan, Dan; Liu, Qianying; Chen, Dongmei; Liu, Zhenli; Rosa Martinez-Larranaga, Maria; Aranzazu Martinez, Maria; Anadon, Arturo; Yuan, Zonghui","","","","ARCHIVES OF TOXICOLOGY","JAN 2016","2016","90","1","","","","81","101","","10.1007/s00204-015-1604-8","","","75","9.38","0","0","0","0","0","1","5","6","9","8","12","14","18","2"
"Effects of Different Processing Methods on the Micronutrient and Phytochemical Contents of Maize: From A to Z","Suri, Devika J.; Tanumihardjo, Sherry A.","","","","COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY","SEP 2016","2016","15","5","","","","912","926","","10.1111/1541-4337.12216","","","61","7.63","0","0","0","0","0","0","0","2","9","10","16","12","9","3"
